occ_code,education,share,source_tag,job_zone,jz_imputed
11-1011,ba_plus,0.9,partial:ONET_JobZone_mapping;E,5.0,0
11-1011,hs,0.02,partial:ONET_JobZone_mapping;E,5.0,0
11-1011,lt_hs,0.0,partial:ONET_JobZone_mapping;E,5.0,0
11-1011,some_college,0.08,partial:ONET_JobZone_mapping;E,5.0,0
11-1021,ba_plus,0.65,partial:ONET_JobZone_mapping;E,4.0,0
11-1021,hs,0.1,partial:ONET_JobZone_mapping;E,4.0,0
11-1021,lt_hs,0.01,partial:ONET_JobZone_mapping;E,4.0,0
11-1021,some_college,0.24,partial:ONET_JobZone_mapping;E,4.0,0
11-1031,ba_plus,0.6633822164996375,partial:ONET_JobZone_mapping;E,4.096616681851143,1
11-1031,hs,0.10723064908986112,partial:ONET_JobZone_mapping;E,4.096616681851143,1
11-1031,lt_hs,0.011155291634903223,partial:ONET_JobZone_mapping;E,4.096616681851143,1
11-1031,some_college,0.2182318427755982,partial:ONET_JobZone_mapping;E,4.096616681851143,1
11-2011,ba_plus,0.65,partial:ONET_JobZone_mapping;E,4.0,0
11-2011,hs,0.1,partial:ONET_JobZone_mapping;E,4.0,0
11-2011,lt_hs,0.01,partial:ONET_JobZone_mapping;E,4.0,0
11-2011,some_college,0.24,partial:ONET_JobZone_mapping;E,4.0,0
11-2021,ba_plus,0.65,partial:ONET_JobZone_mapping;E,4.0,0
11-2021,hs,0.1,partial:ONET_JobZone_mapping;E,4.0,0
11-2021,lt_hs,0.01,partial:ONET_JobZone_mapping;E,4.0,0
11-2021,some_college,0.24,partial:ONET_JobZone_mapping;E,4.0,0
11-2022,ba_plus,0.65,partial:ONET_JobZone_mapping;E,4.0,0
11-2022,hs,0.1,partial:ONET_JobZone_mapping;E,4.0,0
11-2022,lt_hs,0.01,partial:ONET_JobZone_mapping;E,4.0,0
11-2022,some_college,0.24,partial:ONET_JobZone_mapping;E,4.0,0
11-2032,ba_plus,0.6633822164996375,partial:ONET_JobZone_mapping;E,4.096616681851143,1
11-2032,hs,0.10723064908986112,partial:ONET_JobZone_mapping;E,4.096616681851143,1
11-2032,lt_hs,0.011155291634903223,partial:ONET_JobZone_mapping;E,4.096616681851143,1
11-2032,some_college,0.2182318427755982,partial:ONET_JobZone_mapping;E,4.096616681851143,1
11-2033,ba_plus,0.6633822164996375,partial:ONET_JobZone_mapping;E,4.096616681851143,1
11-2033,hs,0.10723064908986112,partial:ONET_JobZone_mapping;E,4.096616681851143,1
11-2033,lt_hs,0.011155291634903223,partial:ONET_JobZone_mapping;E,4.096616681851143,1
11-2033,some_college,0.2182318427755982,partial:ONET_JobZone_mapping;E,4.096616681851143,1
11-3012,ba_plus,0.2,partial:ONET_JobZone_mapping;E,3.0,0
11-3012,hs,0.35,partial:ONET_JobZone_mapping;E,3.0,0
11-3012,lt_hs,0.03,partial:ONET_JobZone_mapping;E,3.0,0
11-3012,some_college,0.42,partial:ONET_JobZone_mapping;E,3.0,0
11-3013,ba_plus,0.6633822164996375,partial:ONET_JobZone_mapping;E,4.096616681851143,1
11-3013,hs,0.10723064908986112,partial:ONET_JobZone_mapping;E,4.096616681851143,1
11-3013,lt_hs,0.011155291634903223,partial:ONET_JobZone_mapping;E,4.096616681851143,1
11-3013,some_college,0.2182318427755982,partial:ONET_JobZone_mapping;E,4.096616681851143,1
11-3021,ba_plus,0.65,partial:ONET_JobZone_mapping;E,4.0,0
11-3021,hs,0.1,partial:ONET_JobZone_mapping;E,4.0,0
11-3021,lt_hs,0.01,partial:ONET_JobZone_mapping;E,4.0,0
11-3021,some_college,0.24,partial:ONET_JobZone_mapping;E,4.0,0
11-3031,ba_plus,0.775,partial:ONET_JobZone_mapping;E,4.5,0
11-3031,hs,0.060000000000000005,partial:ONET_JobZone_mapping;E,4.5,0
11-3031,lt_hs,0.005,partial:ONET_JobZone_mapping;E,4.5,0
11-3031,some_college,0.16,partial:ONET_JobZone_mapping;E,4.5,0
11-3051,ba_plus,0.47000000000000003,partial:ONET_JobZone_mapping;E,3.6,0
11-3051,hs,0.19999999999999998,partial:ONET_JobZone_mapping;E,3.6,0
11-3051,lt_hs,0.018,partial:ONET_JobZone_mapping;E,3.6,0
11-3051,some_college,0.312,partial:ONET_JobZone_mapping;E,3.6,0
11-3061,ba_plus,0.65,partial:ONET_JobZone_mapping;E,4.0,0
11-3061,hs,0.1,partial:ONET_JobZone_mapping;E,4.0,0
11-3061,lt_hs,0.01,partial:ONET_JobZone_mapping;E,4.0,0
11-3061,some_college,0.24,partial:ONET_JobZone_mapping;E,4.0,0
11-3071,ba_plus,0.65,partial:ONET_JobZone_mapping;E,4.0,0
11-3071,hs,0.1,partial:ONET_JobZone_mapping;E,4.0,0
11-3071,lt_hs,0.01,partial:ONET_JobZone_mapping;E,4.0,0
11-3071,some_college,0.24,partial:ONET_JobZone_mapping;E,4.0,0
11-3111,ba_plus,0.65,partial:ONET_JobZone_mapping;E,4.0,0
11-3111,hs,0.1,partial:ONET_JobZone_mapping;E,4.0,0
11-3111,lt_hs,0.01,partial:ONET_JobZone_mapping;E,4.0,0
11-3111,some_college,0.24,partial:ONET_JobZone_mapping;E,4.0,0
